election_id,election_year,office,district_display,dem_margin,dem_margin_two_party,response_shift
105504,2010,State Representative,37th Middlesex,9.591412742382266,9.591412742382271,5.329070518200751e-15
112801,2012,State Representative,12th Bristol,-15.289883596693477,-15.289883596693471,5.329070518200751e-15
140829,2020,State Representative,1st Barnstable,-9.951439228657888,-9.951439228657893,-5.329070518200751e-15
112847,2012,State Representative,8th Plymouth,-4.642253521126766,-4.642253521126761,5.329070518200751e-15
112879,2012,State Representative,6th Plymouth,10.138636665633172,10.138636665633166,-5.329070518200751e-15
140846,2020,State Representative,22nd Middlesex,-10.630826470465276,-10.630826470465282,-5.329070518200751e-15
105640,2010,State Representative,10th Plymouth,12.292748283369615,12.29274828336962,5.329070518200751e-15
140803,2020,State Representative,2nd Worcester,14.260485651214132,14.260485651214127,-5.329070518200751e-15
126288,2014,State Representative,17th Worcester,-0.4607307403835803,-0.4607307403835852,-4.884981308350689e-15
154527,2022,State Representative,5th Plymouth,-3.4841768889805227,-3.484176888980518,4.884981308350689e-15
165493,2024,State Representative,12th Plymouth,6.27572016460905,6.275720164609054,4.440892098500626e-15
105582,2010,State Senate,Plymouth and Barnstable,4.872189381056491,4.872189381056495,4.440892098500626e-15
105590,2010,State Representative,18th Worcester,-5.13096113593936,-5.130961135939356,4.440892098500626e-15
124838,2013,State Senate,2nd Hampden and Hampshire,-5.266825387608148,-5.2668253876081526,-4.440892098500626e-15
112842,2012,State Representative,2nd Essex,-4.454342984409804,-4.4543429844097995,4.440892098500626e-15
105708,2010,State Representative,9th Essex,-2.188196309204132,-2.1881963092041365,-4.440892098500626e-15
131730,2018,State Representative,1st Plymouth,-4.602187846368855,-4.60218784636885,4.440892098500626e-15
124866,2014,State Senate,5th Middlesex,6.472004816375682,6.472004816375677,-4.440892098500626e-15
140875,2020,State Representative,2nd Essex,-2.573554508840198,-2.5735545088401937,4.440892098500626e-15
130483,2016,State Senate,Plymouth and Norfolk,-5.473622850480914,-5.4736228504809095,4.440892098500626e-15
154556,2022,State Representative,9th Norfolk,-1.7384585667374886,-1.7384585667374928,-4.218847493575595e-15
105722,2010,State Representative,32nd Middlesex,2.977349880349495,2.977349880349491,-3.9968028886505635e-15
140932,2020,State Representative,5th Plymouth,-1.3936084914665303,-1.3936084914665343,-3.9968028886505635e-15
105668,2010,State Representative,6th Plymouth,-2.761210514689644,-2.76121051468964,3.9968028886505635e-15
154427,2022,State Senate,Worcester & Hampshire,8.711603702623455,8.711603702623458,3.552713678800501e-15
154419,2022,State Senate,Second Plymouth & Norfolk,27.405957816916725,27.40595781691672,-3.552713678800501e-15
130322,2016,State Senate,1st Hampden and Hampshire,11.798470986339144,11.79847098633914,-3.552713678800501e-15
130267,2016,State Senate,2nd Hampden and Hampshire,-19.08209223287558,-19.082092232875578,3.552713678800501e-15
154433,2022,State Senate,"Norfolk, Worcester & Middlesex",9.7465452878381,9.746545287838103,3.552713678800501e-15
154342,2022,State Senate,Norfolk and Plymouth,27.320870624371125,27.32087062437113,3.552713678800501e-15
130439,2016,State Representative,9th Essex,-9.87183334047752,-9.871833340477517,3.552713678800501e-15
154431,2022,State Senate,"Hampden, Hampshire & Worcester",12.617968902870391,12.617968902870388,-3.552713678800501e-15
154402,2022,State Senate,Worcester and Middlesex,20.559798105601264,20.55979810560126,-3.552713678800501e-15
165435,2024,State Representative,3rd Barnstable,-12.069506961164029,-12.069506961164032,-3.552713678800501e-15
160410,2023,State Senate,Worcester & Hampshire,-9.05484649879269,-9.054846498792687,3.552713678800501e-15
130400,2016,State Representative,6th Plymouth,28.09986595174263,28.099865951742625,-3.552713678800501e-15
130279,2016,State Representative,18th Essex,-19.313556832962696,-19.3135568329627,-3.552713678800501e-15
165405,2024,State Senate,Worcester & Hampden,-31.733585642532887,-31.73358564253289,-3.552713678800501e-15
165395,2024,State Senate,"Norfolk, Worcester & Middlesex",17.808247337910622,17.80824733791062,-3.552713678800501e-15
165473,2024,State Senate,1st Middlesex,27.157940568194185,27.15794056819419,3.552713678800501e-15
130319,2016,State Representative,21st Middlesex,17.17241978958351,17.172419789583515,3.552713678800501e-15
130333,2016,State Representative,22nd Middlesex,-18.405947115837023,-18.40594711583702,3.552713678800501e-15
165522,2024,State Representative,9th Norfolk,-14.819417768237114,-14.81941776823711,3.552713678800501e-15
165454,2024,State Representative,6th Worcester,-23.861203763628215,-23.861203763628218,-3.552713678800501e-15
130380,2016,State Representative,2nd Plymouth,-15.554260176819202,-15.554260176819199,3.552713678800501e-15
165474,2024,State Representative,6th Plymouth,-5.948404519934614,-5.948404519934617,-3.552713678800501e-15
165385,2024,State Representative,5th Barnstable,-22.77717411667728,-22.777174116677283,-3.552713678800501e-15
130391,2016,State Senate,Plymouth and Norfolk,-13.220990359806978,-13.220990359806981,-3.552713678800501e-15
165386,2024,State Representative,2nd Barnstable,18.717744304116145,18.71774430411614,-3.552713678800501e-15
