target_id,election_date,office,district,district_display,dem_candidate_id,dem_candidate_name,comparison_candidate_id,comparison_candidate_name,comparison_candidate_party,incumbent_status,PVI_N,pvi_year,redistricting_cycle,pvi_coverage,pvi_interpolated_share,pvi_provenance,ballot_timing,money_complete_60d,money_complete_14d,candidate_source,candidate_source_digest,candidate_data_as_of,pvi_source,pvi_source_digest,comparison_rule,comparison_review_status,dem_nominee_basis,dem_nominee_review_status,comparison_nominee_basis,comparison_nominee_review_status
1707a8bfee545b787ce4,2026-11-03,State Representative,First Plymouth,1st Plymouth,sec-70d2fecff7bc5538902d,Michelle L. Badger,sec-3a0c4c7bb1dcf7ea0830,"David Michael Golden, Jr.",Republican,Dem_Incumbent,5.029637416612365,2024,2021,1,0,2024_precinct_rollup_exact_only,midterm_gop_pres,True,False,ma-election-db 2026 primary candidate roster and final electionstats.state.ma.us primary results,sha256:6bd2af918345bb0e0a71a06e5b3c24a6266d183a1f3534b320c61de88ca8a4f5,2026-09-14T18:15:38Z,"2024 precinct PVI, 2021 precinct-district map, and national baseline",sha256:9f6c5da0acc806f58d72b10278502c3ccb704eccb67a1db2235c4e6702ea8159,republican_nominee_from_2026_primary,not_required_one_republican_nominee,uncontested_primary,not_required_uncontested_primary,uncontested_primary,not_required_uncontested_primary
0df886b56e6d42e72e07,2026-11-03,State Representative,First Worcester,1st Worcester,sec-9f27fa90a396193ebc4c,Krista Suzanne Ferrante,sec-89de2dfece551990456c,Stephanie R. Mulroy,Republican,No_Incumbent,4.143640632776191,2024,2021,1,0,2024_precinct_rollup_exact_only,midterm_gop_pres,True,False,ma-election-db 2026 primary candidate roster and final electionstats.state.ma.us primary results,sha256:6bd2af918345bb0e0a71a06e5b3c24a6266d183a1f3534b320c61de88ca8a4f5,2026-09-14T18:15:38Z,"2024 precinct PVI, 2021 precinct-district map, and national baseline",sha256:9f6c5da0acc806f58d72b10278502c3ccb704eccb67a1db2235c4e6702ea8159,republican_nominee_from_2026_primary,not_required_one_republican_nominee,uncontested_primary,not_required_uncontested_primary,uncontested_primary,not_required_uncontested_primary
423456885bb439b866f9,2026-11-03,State Representative,Fourth Hampden,4th Hampden,sec-96412482065aafcfcb60,Colby Walshe Hoffman,sec-e482d96ea75172080e01,Kelly W. Pease,Republican,GOP_Incumbent,-0.393697508223978,2024,2021,1,0,2024_precinct_rollup_exact_only,midterm_gop_pres,True,False,ma-election-db 2026 primary candidate roster and final electionstats.state.ma.us primary results,sha256:6bd2af918345bb0e0a71a06e5b3c24a6266d183a1f3534b320c61de88ca8a4f5,2026-09-14T18:15:38Z,"2024 precinct PVI, 2021 precinct-district map, and national baseline",sha256:9f6c5da0acc806f58d72b10278502c3ccb704eccb67a1db2235c4e6702ea8159,republican_nominee_from_2026_primary,not_required_one_republican_nominee,uncontested_primary,not_required_uncontested_primary,uncontested_primary,not_required_uncontested_primary
7b5742574199d18bdef5,2026-11-03,State Representative,Fourth Worcester,4th Worcester,sec-22e763260248daef16cb,Natalie Marie Higgins,sec-d8efdc9b2de980ed075d,Josh William Bowdridge,Republican,Dem_Incumbent,6.120683687797746,2024,2021,1,0,2024_precinct_rollup_exact_only,midterm_gop_pres,True,False,ma-election-db 2026 primary candidate roster and final electionstats.state.ma.us primary results,sha256:6bd2af918345bb0e0a71a06e5b3c24a6266d183a1f3534b320c61de88ca8a4f5,2026-09-14T18:15:38Z,"2024 precinct PVI, 2021 precinct-district map, and national baseline",sha256:9f6c5da0acc806f58d72b10278502c3ccb704eccb67a1db2235c4e6702ea8159,republican_nominee_from_2026_primary,not_required_one_republican_nominee,uncontested_primary,not_required_uncontested_primary,uncontested_primary,not_required_uncontested_primary
d27433a10062d75ebbed,2026-11-03,State Representative,Ninth Bristol,9th Bristol,sec-2d4bffb09f3337f7f199,Edward M. Pacheco,sec-f80afd6a44dbcb3f3bab,Chester M. Tam,Republican,No_Incumbent,1.343134675416624,2024,2021,1,0.108736824538397,2024_precinct_rollup_with_interpolation,midterm_gop_pres,True,False,ma-election-db 2026 primary candidate roster and final electionstats.state.ma.us primary results,sha256:6bd2af918345bb0e0a71a06e5b3c24a6266d183a1f3534b320c61de88ca8a4f5,2026-09-14T18:15:38Z,"2024 precinct PVI, 2021 precinct-district map, and national baseline",sha256:9f6c5da0acc806f58d72b10278502c3ccb704eccb67a1db2235c4e6702ea8159,republican_nominee_from_2026_primary,not_required_one_republican_nominee,final_primary_nominee,confirmed_final_primary,final_primary_nominee,confirmed_final_primary
52e48f4c113ab6cb6422,2026-11-03,State Representative,Ninth Essex,9th Essex,sec-a5033704f59d98d5a443,Peter Meaney,sec-3b47460263ae63fb7eaf,Donald H. Wong,Republican,GOP_Incumbent,2.682168411354713,2024,2021,1,0,2024_precinct_rollup_exact_only,midterm_gop_pres,True,False,ma-election-db 2026 primary candidate roster and final electionstats.state.ma.us primary results,sha256:6bd2af918345bb0e0a71a06e5b3c24a6266d183a1f3534b320c61de88ca8a4f5,2026-09-14T18:15:38Z,"2024 precinct PVI, 2021 precinct-district map, and national baseline",sha256:9f6c5da0acc806f58d72b10278502c3ccb704eccb67a1db2235c4e6702ea8159,republican_nominee_from_2026_primary,not_required_one_republican_nominee,final_primary_nominee,confirmed_final_primary,uncontested_primary,not_required_uncontested_primary
ba8094e909c9d333ef66,2026-11-03,State Representative,Ninth Norfolk,9th Norfolk,sec-81c273861a66f1fc7f6e,Thomas R. Melville,sec-257e5abeba24efe7c7a4,Marcus S. Vaughn,Republican,GOP_Incumbent,7.435799743479055,2024,2021,1,0,2024_precinct_rollup_exact_only,midterm_gop_pres,True,False,ma-election-db 2026 primary candidate roster and final electionstats.state.ma.us primary results,sha256:6bd2af918345bb0e0a71a06e5b3c24a6266d183a1f3534b320c61de88ca8a4f5,2026-09-14T18:15:38Z,"2024 precinct PVI, 2021 precinct-district map, and national baseline",sha256:9f6c5da0acc806f58d72b10278502c3ccb704eccb67a1db2235c4e6702ea8159,republican_nominee_from_2026_primary,not_required_one_republican_nominee,uncontested_primary,not_required_uncontested_primary,uncontested_primary,not_required_uncontested_primary
d02efb0ecffec059daf7,2026-11-03,State Representative,Ninth Plymouth,9th Plymouth,sec-a05d434baa17ae83032d,Bridget Marie Plouffe,sec-dd914cf7bf56a026c1c8,Lawrence Peter Novak,Republican,Dem_Incumbent,9.182329322243065,2024,2021,1,0.260370442126846,2024_precinct_rollup_with_interpolation,midterm_gop_pres,True,False,ma-election-db 2026 primary candidate roster and final electionstats.state.ma.us primary results,sha256:6bd2af918345bb0e0a71a06e5b3c24a6266d183a1f3534b320c61de88ca8a4f5,2026-09-14T18:15:38Z,"2024 precinct PVI, 2021 precinct-district map, and national baseline",sha256:9f6c5da0acc806f58d72b10278502c3ccb704eccb67a1db2235c4e6702ea8159,republican_nominee_from_2026_primary,not_required_one_republican_nominee,uncontested_primary,not_required_uncontested_primary,uncontested_primary,not_required_uncontested_primary
f42b16bd5a6858a479d1,2026-11-03,State Representative,Second Essex,2nd Essex,sec-8a9d5d073dbe5e890726,Kristin Elena Kassner,sec-ed5be750593412630c68,Daniel James Kelly,Republican,Dem_Incumbent,10.99457169462127,2024,2021,1,0.295973209536176,2024_precinct_rollup_with_interpolation,midterm_gop_pres,True,False,ma-election-db 2026 primary candidate roster and final electionstats.state.ma.us primary results,sha256:6bd2af918345bb0e0a71a06e5b3c24a6266d183a1f3534b320c61de88ca8a4f5,2026-09-14T18:15:38Z,"2024 precinct PVI, 2021 precinct-district map, and national baseline",sha256:9f6c5da0acc806f58d72b10278502c3ccb704eccb67a1db2235c4e6702ea8159,republican_nominee_from_2026_primary,not_required_one_republican_nominee,uncontested_primary,not_required_uncontested_primary,uncontested_primary,not_required_uncontested_primary
093aa84b6cef83f21486,2026-11-03,State Representative,Second Hampden,2nd Hampden,sec-95876d788b18b42fd57b,Brian Michael Ashe,sec-7883b44428f7a015d6a8,Peter Warren,Republican,Dem_Incumbent,5.228119135258824,2024,2021,1,0,2024_precinct_rollup_exact_only,midterm_gop_pres,True,False,ma-election-db 2026 primary candidate roster and final electionstats.state.ma.us primary results,sha256:6bd2af918345bb0e0a71a06e5b3c24a6266d183a1f3534b320c61de88ca8a4f5,2026-09-14T18:15:38Z,"2024 precinct PVI, 2021 precinct-district map, and national baseline",sha256:9f6c5da0acc806f58d72b10278502c3ccb704eccb67a1db2235c4e6702ea8159,republican_nominee_from_2026_primary,not_required_one_republican_nominee,uncontested_primary,not_required_uncontested_primary,uncontested_primary,not_required_uncontested_primary
