target_id,election_date,election_year,office,district,district_display,is_special,role,candidate_id,candidate,cpf_id,filer_name,match_rule,filers_considered,roster_source,roster_error,horizon,window_start,cutoff,available,receipts_cache_identity,receipts,receipts_items,expenditures_cache_identity,expenditures,expenditures_items,race_complete
423456885bb439b866f9,2026-11-03,2026,State Representative,Fourth Hampden,4th Hampden,False,opp,sec-e482d96ea75172080e01,Kelly W. Pease,17418,"Pease, Kelly",surname,3,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__4ba474207982bb4ea632.json,22068.36,187,cache/ocpf/search_items__fe1a009d8e5e369b1a8d.json,13207.3,72,True
7b5742574199d18bdef5,2026-11-03,2026,State Representative,Fourth Worcester,4th Worcester,False,dem,sec-22e763260248daef16cb,Natalie Marie Higgins,16366,"Higgins, Natalie Marie",surname,2,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__8dc4d1dc8447db0113f8.json,14010.0,120,cache/ocpf/search_items__65138d8611454c1b6bd0.json,6241.19,43,True
7b5742574199d18bdef5,2026-11-03,2026,State Representative,Fourth Worcester,4th Worcester,False,opp,sec-d8efdc9b2de980ed075d,Josh William Bowdridge,19635,"Bowdridge, Josh",surname,2,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__1f754aa944b3098d4ef8.json,1135.0,6,cache/ocpf/search_items__b5e77ee18105cf6a8d82.json,998.05,10,True
d27433a10062d75ebbed,2026-11-03,2026,State Representative,Ninth Bristol,9th Bristol,False,dem,sec-2d4bffb09f3337f7f199,Edward M. Pacheco,19681,"Pacheco, Edward",surname,5,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__d4795ae70c36092df4ff.json,23421.65,199,cache/ocpf/search_items__c38c77ef9e5287f66f6a.json,22540.64,119,True
d27433a10062d75ebbed,2026-11-03,2026,State Representative,Ninth Bristol,9th Bristol,False,opp,sec-f80afd6a44dbcb3f3bab,Chester M. Tam,19031,"Tam, Chester",surname,5,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__59faed430cdd0ca583ba.json,21494.84,236,cache/ocpf/search_items__0d20140a14c1bf95dfde.json,10982.35,136,True
52e48f4c113ab6cb6422,2026-11-03,2026,State Representative,Ninth Essex,9th Essex,False,dem,sec-a5033704f59d98d5a443,Peter Meaney,18138,"Meaney, Peter",surname,3,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__d0c2c8603827040ad47e.json,221948.85,278,cache/ocpf/search_items__346c671572fca873d9f5.json,220821.7,151,True
52e48f4c113ab6cb6422,2026-11-03,2026,State Representative,Ninth Essex,9th Essex,False,opp,sec-3b47460263ae63fb7eaf,Donald H. Wong,15174,"Wong, Donald H.",surname,3,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__c86213a07cdb2cff2c94.json,23907.36,107,cache/ocpf/search_items__de96513c74041866aadd.json,13340.44,47,True
ba8094e909c9d333ef66,2026-11-03,2026,State Representative,Ninth Norfolk,9th Norfolk,False,dem,sec-81c273861a66f1fc7f6e,Thomas R. Melville,19447,"Melville, Thomas",surname,3,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__ed2bd3a47876caa7dc11.json,83288.76,350,cache/ocpf/search_items__c6ef6ead56464694b119.json,60865.655,345,True
ba8094e909c9d333ef66,2026-11-03,2026,State Representative,Ninth Norfolk,9th Norfolk,False,opp,sec-257e5abeba24efe7c7a4,Marcus S. Vaughn,17993,"Vaughn, Marcus",surname,3,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__5daf5ec57a0fc46c0330.json,41723.02,295,cache/ocpf/search_items__e499453079411ddb8524.json,13467.98,86,True
d02efb0ecffec059daf7,2026-11-03,2026,State Representative,Ninth Plymouth,9th Plymouth,False,dem,sec-a05d434baa17ae83032d,Bridget Marie Plouffe,18745,"Plouffe, Bridget",surname,3,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__6e5b02b0971f122fbd2a.json,33531.09,179,cache/ocpf/search_items__cd3e70254561a7d64f34.json,11234.37,65,True
