variant,parameter,mean,sd,eti89_lb,eti89_ub,fold,definition,component,fold_schedule
baseline,pres_elec,7.226301,1.338233,5.115892,9.379519,2023-11-07,current,,election_date>=2014-01-01
baseline,sigma,14.831289,0.446013,14.138101,15.572122,2024-11-05,current,,election_date>=2014-01-01
baseline,Intercept,1.444431,1.383144,-0.768355,3.649833,2024-11-05,current,,election_date>=2014-01-01
baseline,PVI_N,1.655832,0.070699,1.543266,1.769197,2024-11-05,current,,election_date>=2014-01-01
baseline,incumbent_dem,10.108901,1.482292,7.769696,12.487784,2024-11-05,current,,election_date>=2014-01-01
baseline,incumbent_gop,-23.322506,1.968787,-26.49403,-20.211175,2024-11-05,current,,election_date>=2014-01-01
baseline,pres_elec,7.27222,1.376831,5.058071,9.487745,2024-11-05,current,,election_date>=2014-01-01
special_pooled_term,sigma,14.053742,0.725576,12.961248,15.269762,2014-01-07,current,,election_date>=2014-01-01
special_pooled_term,Intercept,-6.176369,2.426432,-10.05022,-2.313244,2014-01-07,current,,election_date>=2014-01-01
special_pooled_term,PVI_N,1.725792,0.123287,1.531434,1.923534,2014-01-07,current,,election_date>=2014-01-01
special_pooled_term,incumbent_dem,11.392388,2.449662,7.461147,15.340535,2014-01-07,current,,election_date>=2014-01-01
special_pooled_term,incumbent_gop,-23.169239,3.915197,-29.420561,-16.922945,2014-01-07,current,,election_date>=2014-01-01
special_pooled_term,pres_elec,13.608285,2.219016,10.066572,17.235027,2014-01-07,current,,election_date>=2014-01-01
special_pooled_term,is_special,3.044489,4.552418,-4.307781,10.332152,2014-01-07,current,,election_date>=2014-01-01
special_pooled_term,sigma,14.172695,0.726494,13.04896,15.384,2014-04-01,current,,election_date>=2014-01-01
special_pooled_term,Intercept,-6.709722,2.454178,-10.622295,-2.780805,2014-04-01,current,,election_date>=2014-01-01
special_pooled_term,PVI_N,1.778492,0.123638,1.580558,1.973377,2014-04-01,current,,election_date>=2014-01-01
special_pooled_term,incumbent_dem,11.402665,2.462552,7.483162,15.363671,2014-04-01,current,,election_date>=2014-01-01
special_pooled_term,incumbent_gop,-22.506826,3.959404,-28.890247,-16.175722,2014-04-01,current,,election_date>=2014-01-01
special_pooled_term,pres_elec,13.502405,2.221966,9.914413,17.066323,2014-04-01,current,,election_date>=2014-01-01
special_pooled_term,is_special,0.456972,4.350643,-6.382508,7.464869,2014-04-01,current,,election_date>=2014-01-01
special_pooled_term,sigma,14.172806,0.704875,13.070828,15.345824,2014-11-04,current,,election_date>=2014-01-01
special_pooled_term,Intercept,-6.518029,2.43847,-10.421535,-2.620179,2014-11-04,current,,election_date>=2014-01-01
special_pooled_term,PVI_N,1.761087,0.123167,1.566823,1.956138,2014-11-04,current,,election_date>=2014-01-01
special_pooled_term,incumbent_dem,11.368801,2.490757,7.345415,15.306579,2014-11-04,current,,election_date>=2014-01-01
special_pooled_term,incumbent_gop,-22.87591,4.033552,-29.331427,-16.47821,2014-11-04,current,,election_date>=2014-01-01
special_pooled_term,pres_elec,13.581785,2.234184,9.940081,17.194709,2014-11-04,current,,election_date>=2014-01-01
special_pooled_term,is_special,2.653045,4.105295,-3.928153,9.216603,2014-11-04,current,,election_date>=2014-01-01
special_pooled_term,sigma,14.349728,0.614792,13.403248,15.383425,2015-03-31,current,,election_date>=2014-01-01
special_pooled_term,Intercept,-5.700412,2.033432,-8.937594,-2.37371,2015-03-31,current,,election_date>=2014-01-01
special_pooled_term,PVI_N,1.729532,0.093561,1.580032,1.874849,2015-03-31,current,,election_date>=2014-01-01
special_pooled_term,incumbent_dem,13.710615,2.141901,10.330359,17.129199,2015-03-31,current,,election_date>=2014-01-01
special_pooled_term,incumbent_gop,-20.641003,3.176321,-25.7435,-15.58098,2015-03-31,current,,election_date>=2014-01-01
special_pooled_term,pres_elec,11.136661,2.008735,7.835256,14.347133,2015-03-31,current,,election_date>=2014-01-01
special_pooled_term,is_special,2.158159,3.992153,-4.283064,8.62058,2015-03-31,current,,election_date>=2014-01-01
