definition,variant,bin,bin_lower,bin_upper,n_races,small_sample,mean_forecast,observed_frequency,fold_schedule
current,baseline_money_diff,0.6-0.7,0.6,0.7,19,False,0.653914,0.842105,election_date>=2014-01-01
current,baseline_money_diff,0.7-0.8,0.7,0.8,40,False,0.749606,0.95,election_date>=2014-01-01
current,baseline_money_diff,0.8-0.9,0.8,0.9,41,False,0.858027,0.878049,election_date>=2014-01-01
current,baseline_money_diff,0.9-1.0,0.9,1.0,174,False,0.974869,1.0,election_date>=2014-01-01
current,baseline_money_both,0.0-0.1,0.0,0.1,54,False,0.034676,0.018519,election_date>=2014-01-01
current,baseline_money_both,0.1-0.2,0.1,0.2,31,False,0.140133,0.032258,election_date>=2014-01-01
current,baseline_money_both,0.2-0.3,0.2,0.3,15,False,0.253608,0.333333,election_date>=2014-01-01
current,baseline_money_both,0.3-0.4,0.3,0.4,11,False,0.349625,0.454545,election_date>=2014-01-01
current,baseline_money_both,0.4-0.5,0.4,0.5,9,True,0.446306,0.777778,election_date>=2014-01-01
current,baseline_money_both,0.5-0.6,0.5,0.6,19,False,0.550441,0.789474,election_date>=2014-01-01
current,baseline_money_both,0.6-0.7,0.6,0.7,19,False,0.653829,0.789474,election_date>=2014-01-01
current,baseline_money_both,0.7-0.8,0.7,0.8,33,False,0.744242,0.939394,election_date>=2014-01-01
current,baseline_money_both,0.8-0.9,0.8,0.9,30,False,0.852904,0.9,election_date>=2014-01-01
current,baseline_money_both,0.9-1.0,0.9,1.0,188,False,0.980788,0.994681,election_date>=2014-01-01
current,baseline_money_logratio_wide,0.0-0.1,0.0,0.1,56,False,0.040152,0.017857,election_date>=2014-01-01
current,baseline_money_logratio_wide,0.1-0.2,0.1,0.2,27,False,0.156403,0.037037,election_date>=2014-01-01
current,baseline_money_logratio_wide,0.2-0.3,0.2,0.3,13,False,0.242163,0.307692,election_date>=2014-01-01
current,baseline_money_logratio_wide,0.3-0.4,0.3,0.4,15,False,0.353592,0.4,election_date>=2014-01-01
current,baseline_money_logratio_wide,0.4-0.5,0.4,0.5,6,True,0.459083,0.833333,election_date>=2014-01-01
current,baseline_money_logratio_wide,0.5-0.6,0.5,0.6,17,False,0.556824,0.647059,election_date>=2014-01-01
current,baseline_money_logratio_wide,0.6-0.7,0.6,0.7,18,False,0.647479,0.888889,election_date>=2014-01-01
current,baseline_money_logratio_wide,0.7-0.8,0.7,0.8,38,False,0.752382,0.921053,election_date>=2014-01-01
current,baseline_money_logratio_wide,0.8-0.9,0.8,0.9,35,False,0.85955,0.885714,election_date>=2014-01-01
current,baseline_money_logratio_wide,0.9-1.0,0.9,1.0,184,False,0.976965,1.0,election_date>=2014-01-01
current,baseline_spend_share,0.0-0.1,0.0,0.1,60,False,0.03634,0.05,election_date>=2014-01-01
current,baseline_spend_share,0.1-0.2,0.1,0.2,18,False,0.139806,0.0,election_date>=2014-01-01
current,baseline_spend_share,0.2-0.3,0.2,0.3,18,False,0.254222,0.222222,election_date>=2014-01-01
current,baseline_spend_share,0.3-0.4,0.3,0.4,20,False,0.352412,0.5,election_date>=2014-01-01
current,baseline_spend_share,0.4-0.5,0.4,0.5,12,False,0.433292,0.583333,election_date>=2014-01-01
current,baseline_spend_share,0.5-0.6,0.5,0.6,19,False,0.549513,0.842105,election_date>=2014-01-01
current,baseline_spend_share,0.6-0.7,0.6,0.7,16,False,0.658703,0.8125,election_date>=2014-01-01
current,baseline_spend_share,0.7-0.8,0.7,0.8,18,False,0.762889,1.0,election_date>=2014-01-01
current,baseline_spend_share,0.8-0.9,0.8,0.9,31,False,0.85373,0.935484,election_date>=2014-01-01
current,baseline_spend_share,0.9-1.0,0.9,1.0,197,False,0.980218,0.984772,election_date>=2014-01-01
current,baseline_spend_logratio,0.0-0.1,0.0,0.1,55,False,0.035418,0.018182,election_date>=2014-01-01
current,baseline_spend_logratio,0.1-0.2,0.1,0.2,27,False,0.154417,0.074074,election_date>=2014-01-01
current,baseline_spend_logratio,0.2-0.3,0.2,0.3,17,False,0.250596,0.235294,election_date>=2014-01-01
